title,release_date,platforms,genres
Modern Combat 3: Fallen Nation,2011-10-27,iOS,first-person shooter
Modern Combat: Sandstorm,2009-08-27,iOS,first-person shooter
Moero! Nekketsu Rhythm Damashii Osu! Tatakae! Ouendan 2,2007-05-17,Nintendo DS,"cheerleading video game, music video game"
Moeyo Ken,2002-12-26,PlayStation 4,role-playing video game
Molehill Empire,2008-01-01,web browser,Unknown
Momoko 120%,1986-10-23,"Nintendo Entertainment System, arcade video game",platformer
Monaco Grand Prix: Racing Simulation 2,1999-06-30,"Microsoft Windows, Nintendo 64, PlayStation 2",racing video game
Monkey Island 2: LeChuck's Revenge,1991-01-01,"Classic Mac OS, DOS, FM Towns, Microsoft Windows, Xbox One",adventure video game
Monsteca Corral,2010-08-16,Wii,action game
Monster Bash,1993-04-09,"DOS, Microsoft Windows, macOS","halloween video game, platformer"
Monster Hunter,2004-03-11,PlayStation 4,action role-playing game
Monster Hunter 2,2006-02-16,PlayStation 4,"action role-playing game, role-playing video game"
Monster Hunter Freedom 2,2007-02-22,PlayStation Portable,action role-playing game
Monster Hunter Frontier Online,2007-06-21,"Microsoft Windows, Xbox One",action role-playing game
Montezuma's Revenge,1984-01-01,"Atari 2600, Atari 5200, ColecoVision, Commodore 64, DOS, Microsoft Windows, ZX Spectrum",Metroidvania
Moon Patrol,1982-01-01,"Atari 2600, Atari 5200, Atari ST, Commodore 64, MSX, ZX Spectrum, arcade video game",vehicular combat game
Moon Shuttle,1981-06-01,"Atari 8-bit family, Commodore 64, TRS-80 Color Computer, arcade video game",shoot 'em up
Moon Whistle,1999-01-01,Microsoft Windows,role-playing video game
Moonlight Lady,2000-12-22,Microsoft Windows,"eroge, fantasy anime and manga, fantasy video game, hentai, visual novel"
Moonmist,1986-09-18,"Amstrad CPC, Apple II, Atari ST, Classic Mac OS, Commodore 64, DOS, NEC PC-9800 series, TRS-80 Model I, Texas Instruments TI-99/4A","interactive fiction, video game with LGBT character"
Moonstone: A Hard Days Knight,1991-01-01,DOS,role-playing video game
MorgenGrauen,1992-01-01,cross-platform,MUD
Moria,1983-03-25,"Classic Mac OS, personal computer, superminicomputer",roguelike
Mortal Kombat,1993-10-28,"DOS, Game Boy, Microsoft Windows, PlayStation, PlayStation 3, PlayStation 4, PlayStation Portable, PlayStation Vita, Super Nintendo Entertainment System, Xbox One, arcade video game","crossover fiction, fighting game"
Mortal Kombat 3,1995-01-01,"3DO, DOS, Game Boy, Microsoft Windows, PlayStation, PlayStation 2, Super Nintendo Entertainment System, arcade video game",fighting game
Mortal Kombat 4,1997-10-15,"Game Boy Color, Microsoft Windows, Nintendo 64, PlayStation 2, arcade video game",fighting game
Mortal Kombat Mythologies: Sub-Zero,1997-10-01,"Nintendo 64, PlayStation, PlayStation 2","action-adventure game, beat 'em up, platformer"
Mortal Kombat Trilogy,1996-09-01,"DOS, Microsoft Windows, Nintendo 64, PlayStation 2",fighting game
Mortal Kombat: Armageddon,2006-10-11,"PlayStation 4, Wii","fighting game, science fiction video game"
Mortal Kombat: Deadly Alliance,2002-11-16,"Game Boy, Nintendo GameCube, PlayStation 4",fighting game
Mortal Kombat: Deception,2004-10-04,"Nintendo GameCube, PlayStation 4, PlayStation Portable",fighting game
Mortal Kombat: Shaolin Monks,2005-09-16,PlayStation 4,action-adventure game
Mortal Kombat: Special Forces,2000-06-30,PlayStation 2,"action game, action-adventure game"
Moshimo Ashita ga Hare Naraba,2006-02-24,Microsoft Windows,"eroge, romance adventure game, visual novel"
Moto Racer,1997-08-31,"Microsoft Windows, PlayStation 2",racing video game
MotoGP '08,2008-10-28,"Microsoft Windows, PlayStation 3, PlayStation 4, Wii, Xbox One",racing video game
MotoGP URT 3,2005-08-30,Microsoft Windows,racing video game
MotoRace USA,1983-06-01,"Nintendo Entertainment System, SG-1000, arcade video game",racing video game
MotorStorm,2006-12-14,"PlayStation 3, PlayStation 4",racing video game
MotorStorm: Apocalypse,2011-03-16,PlayStation 3,"post-apocalyptic video game, racing video game"
MotorStorm: Arctic Edge,2009-09-17,"PlayStation 4, PlayStation Portable",racing video game
MotorStorm: Pacific Rift,2008-09-11,PlayStation 3,racing video game
Mount & Blade,2008-09-16,"Microsoft Windows, macOS",action role-playing game
Mr. Do!,1995-06-23,"Atari 2600, ColecoVision, Commodore 64, Game Boy, MSX, Super Nintendo Entertainment System",maze video game
Mr. Heli,1989-01-01,"Amstrad CPC, Atari ST, Commodore 64, ZX Spectrum",shoot 'em up
Mu Online,2001-11-01,Microsoft Windows,massively multiplayer online role-playing game
Multi-User in Middle Earth,1992-01-01,cross-platform,MUD
Multicatan,,web browser,board video game
Murder on the Mississippi,1986-10-31,"Apple II, Commodore 64, MSX, Nintendo Entertainment System",adventure video game
Mushihimesama,2004-10-12,"Microsoft Windows, PlayStation 4, Xbox One, arcade video game, iOS","bullet hell, vertically scrolling shooter"
Mutant Rampage: Bodyslam,1994-01-01,Philips CD-i,"action game, beat 'em up"
My Free Farm,2019-08-26,"Microsoft Windows, web browser",business simulation game
MySims,2007-12-06,"BlackBerry OS, Microsoft Windows, Nintendo DS, Wii, iOS, iPadOS, macOS","city-building game, life simulation game"
MySims Agents,2009-09-25,"Nintendo DS, Wii","adventure video game, detective video game, espionage video game"
MySims Kingdom,2008-10-28,"Microsoft Windows, Nintendo DS, Wii, iOS, iPadOS, macOS",life simulation game
Myself ; Yourself,2007-12-20,PlayStation 4,"harem, visual novel"
Myst V: End of Ages,2005-09-20,"Classic Mac OS, Microsoft Windows, macOS",adventure video game
Mystery House,1980-05-05,"Apple II, FM-7, NEC PC-8800 series, NEC PC-9800 series, iOS",adventure video game
Mystical,1990-01-01,"Atari ST, Microsoft Windows, ZX Spectrum",shoot 'em up
Myth War Online,,Microsoft Windows,massively multiplayer online role-playing game
Myth: History in the Making,1989-01-01,"Amiga CD32, Amstrad CPC, Commodore 64, ZX Spectrum",platformer
N,2005-05-16,"Microsoft Windows, Nintendo DS, PlayStation Portable, Xbox One, macOS","action game, platformer, puzzle video game"
N.I.C.E. 2,1998-11-01,Microsoft Windows,racing video game
NASCAR 99,1998-09-11,"Nintendo 64, PlayStation 2",racing video game
NASCAR Rumble,2000-01-31,PlayStation 2,racing video game
NBA 2K,1999-11-10,Unknown,basketball video game
NBA 2K1,2000-11-01,Unknown,basketball video game
NBA 2K11,2010-10-05,"Microsoft Windows, PlayStation 3, PlayStation 4, PlayStation Portable, Wii, Xbox One",basketball video game
NBA 2K2,2001-10-24,"Nintendo GameCube, PlayStation 4",basketball video game
NBA 2K5,2004-09-28,PlayStation 4,basketball video game
NBA 2K8,2007-01-01,"PlayStation 3, PlayStation 4",basketball video game
NBA 2K9,2008-10-10,"Microsoft Windows, PlayStation 3, PlayStation 4, Xbox One",basketball video game
NBA Elite 11,2010-11-05,iOS,basketball video game
NBA Jam,1994-03-01,"PlayStation, Super Nintendo Entertainment System, arcade video game",basketball video game
NBA Live 06,2005-09-26,"Microsoft Windows, Nintendo GameCube, PlayStation 4, PlayStation Portable, Xbox One",basketball video game
NBA Live 97,1996-01-01,"Microsoft Windows, PlayStation, PlayStation 2, Super Nintendo Entertainment System",basketball video game
NBA Live 99,1998-10-31,"Microsoft Windows, Nintendo 64, PlayStation 2",basketball video game
NBA Showtime: NBA on NBC,1999-04-05,"Game Boy Color, Nintendo 64, PlayStation 2, arcade video game",basketball video game
NBA Street,2001-06-18,"Nintendo GameCube, PlayStation 4",basketball video game
NCAA Football 08,2007-07-17,"PlayStation 3, PlayStation 4, Xbox One",American football video game
NES Open Tournament Golf,1991-09-01,Nintendo Entertainment System,sports video game
NFL Instant Replay,1995-01-01,Philips CD-i,sports video game
NHL '94,1993-10-01,"DOS, PlayStation, Super Nintendo Entertainment System",ice hockey video game
NHL 13,2012-09-11,"PlayStation 3, Xbox One",ice hockey video game
NHL 2001,2000-09-26,"Microsoft Windows, PlayStation 2, PlayStation 4",ice hockey video game
NHL Eastside Hockey Manager,2004-07-02,"Microsoft Windows, macOS",ice hockey video game
NWScript,,Microsoft Windows,Unknown
Nagano Winter Olympics '98,1997-12-18,"Nintendo 64, PlayStation 2",winter sports video game
Nam,1983-01-01,"Apple II, Atari 400, Atari 800, Commodore 64",strategy video game
Namco Museum Remix,2007-10-23,Wii,action game
Nanatsuiro Drops,2006-01-01,"Microsoft Windows, Nintendo DS, PlayStation 4","eroge, fantasy anime and manga, magical girl video game, visual novel"
Nanostray,2005-07-19,Nintendo DS,shoot 'em up
Napoleon: Total War,2010-02-23,"Microsoft Windows, macOS","real-time strategy, real-time tactics, turn-based strategy video game"
Narbacular Drop,2005-01-01,Microsoft Windows,puzzle video game
Narcissu: Side 2nd,2007-05-15,cross-platform,visual novel
Naruto Shippuden: Ultimate Ninja Storm 3,2013-03-05,"Microsoft Windows, PlayStation 3, Xbox One",fighting game
Naruto Shippūden: Gekitō Ninja Taisen! EX,2007-01-01,Wii,fighting game
Naruto: Ultimate Ninja 2,2004-09-30,PlayStation 4,fighting game
Naruto: Ultimate Ninja Storm,2008-11-04,"Microsoft Windows, PlayStation 3",fighting game
Naruto: Uzumaki Chronicles,2005-01-01,PlayStation 4,action-adventure game
NationStates,2002-11-13,web browser,government simulation game
Navyfield,2002-01-01,Microsoft Windows,simulation video game
Nebulus,1987-01-01,"Acorn Archimedes, Amstrad CPC, Atari 7800, Atari ST, Commodore 64, DOS, Nintendo Entertainment System, ZX Spectrum",platformer
Necrodome,1996-01-01,Microsoft Windows,"action game, post-apocalyptic video game, racing video game, vehicular combat game"
Necronomicon: The Dawning of Darkness,2001-05-11,"Microsoft Windows, PlayStation 2",adventure video game
Need for Speed II,1997-03-31,"Microsoft Windows, PlayStation 2",racing video game
Need for Speed III: Hot Pursuit,1998-03-25,"Microsoft Windows, PlayStation 2",racing video game
Need for Speed: Carbon,2006-10-30,"Microsoft Windows, Nintendo DS, Nintendo GameCube, PlayStation 3, PlayStation 4, PlayStation Portable, Wii, Xbox One, macOS",racing video game
Need for Speed: High Stakes,1999-01-01,"Microsoft Windows, PlayStation 2",racing video game
Need for Speed: Hot Pursuit,2010-11-16,"Microsoft Windows, PlayStation 3, Wii, Windows Phone, Xbox One, iOS",racing video game
Need for Speed: Hot Pursuit 2,2002-09-30,"Microsoft Windows, Nintendo GameCube, PlayStation 4",racing video game
Need for Speed: Most Wanted,2005-11-11,"Microsoft Windows, Nintendo DS, Nintendo GameCube, PlayStation 3, PlayStation 4, PlayStation Portable, PlayStation Vita, Wii U, Xbox One, iOS, personal computer",racing video game
Need for Speed: Nitro,2009-11-03,"Nintendo DS, Wii",racing video game
Need for Speed: Porsche Unleashed,2000-02-29,"Microsoft Windows, PlayStation 2",racing video game
Need for Speed: Shift,2009-09-15,"Microsoft Windows, PlayStation 3, PlayStation Portable, Symbian, Windows Mobile, Xbox One, iOS",racing video game
Need for Speed: The Run,2011-11-18,"Microsoft Windows, Nintendo 3DS, PlayStation 3, Wii, Xbox One",racing video game
Need for Speed: Undercover,2008-11-18,"Microsoft Windows, Nintendo DS, PlayStation 3, PlayStation 4, PlayStation Portable, Wii, Windows Phone, Xbox One, iOS",racing video game
Need for Speed: Underground,2003-11-17,"Microsoft Windows, Nintendo GameCube, PlayStation 4, PlayStation Portable, arcade video game",racing video game
Need for Speed: Underground 2,2004-11-09,"Microsoft Windows, Nintendo DS, Nintendo GameCube, PlayStation 4",racing video game
Need for Speed: World,2010-07-20,Microsoft Windows,massively multiplayer online game
Nehrim: At Fate's Edge,2010-01-01,Microsoft Windows,action role-playing game
Neighbours from Hell,2003-06-20,"Microsoft Windows, Nintendo DS, Nintendo GameCube, iOS",strategy video game
Neighbours from Hell 2: On Vacation,2004-05-05,"Microsoft Windows, Nintendo DS, Nintendo GameCube, iOS","puzzle video game, strategy video game"
Nemesis 2,1987-08-22,MSX,shoot 'em up
Nemesis 3: The Eve of Destruction,1987-01-27,MSX,shoot 'em up
Nemesis of the Roman Empire,2003-01-01,Microsoft Windows,"computer wargame, historical video game"
Neo Angelique,2008-01-01,PlayStation 4,dating sim
Neo Bomberman,1997-01-01,Neo Geo,"action game, maze video game"
Neo Contra,2004-10-19,PlayStation 4,run and gun
Neocron,2002-11-01,Microsoft Windows,"cyberpunk video game, massively multiplayer online role-playing game, post-apocalyptic video game"
Neon Genesis Evangelion,1999-06-25,Nintendo 64,"action game, mecha video game"
Neon Genesis Evangelion 2,2003-11-20,PlayStation 4,"mecha video game, role-playing video game"
Neon Genesis Evangelion: Battle Orchestra,2007-06-28,"PlayStation 4, PlayStation Portable","action-adventure game, mecha video game"
Neon Genesis Evangelion: Girlfriend of Steel,1998-01-01,"Classic Mac OS, Microsoft Windows","mecha video game, visual novel"
Neopets,1999-11-15,"cross-platform, web browser","fantasy video game, virtual pet video game"
Nerf ArenaBlast,1999-10-31,Microsoft Windows,first-person shooter
Nero,2003-01-01,"Microsoft Windows, macOS","programming game, strategy video game"
Nether Earth,1987-01-01,"Amstrad CPC, Commodore 64, ZX Spectrum",real-time strategy
Netrek,1988-01-01,"Microsoft Windows, macOS","real-time strategy, shoot 'em up"
Neuromancer,1988-01-01,"Apple II series, Apple IIGS, Commodore 64, DOS","adventure video game, cyberpunk video game"
Neverwinter Nights,2002-06-18,"Microsoft Windows, macOS","fantasy video game, role-playing video game"
New Adventure Island,1992-06-26,"TurboGrafx-16, Wii U",platformer
New Super Mario Bros.,2006-05-15,Nintendo DS,platformer
New Super Mario Bros. 2,2012-07-28,Nintendo 3DS,platformer
New Super Mario Bros. U,2012-11-18,Wii U,platformer
New Super Mario Bros. Wii,2009-11-11,Wii,"platformer, side-scrolling video game"
NiBiRu: Age of Secrets,2005-08-31,Microsoft Windows,adventure video game
Nibbles,1991-01-01,"DOS, macOS",arcade
Nicktoons Racing,2000-01-01,"Game Boy Color, Microsoft Windows, PlayStation 2","crossover fiction, racing video game"
NieR,2010-04-22,"PlayStation 3, Xbox One","action role-playing game, post-apocalyptic video game, video game with LGBT character"
Night Driver,1976-10-01,"Atari 2600, Commodore 64",racing video game
Night Shift,1990-10-01,"Amstrad CPC, Atari ST, Commodore 64, DOS, ZX Spectrum",puzzle-platformer
Night Shift Nurses,2024-12-16,Microsoft Windows,"adult comics, adventure video game, eroge, harem, hentai, visual novel, yaoi"
Night Trap,1992-10-15,"3DO, Classic Mac OS, DOS, Microsoft Windows, PlayStation",interactive film
Nightmare Creatures,1997-09-30,"Microsoft Windows, Nintendo 64, PlayStation 2",survival horror
Niji no Silkroad,1991-02-22,Nintendo Entertainment System,role-playing video game
Nimrod,1951-05-05,http://www.wikidata.org/.well-known/genid/b1cd9ef6abb3905b04001bda758d67db,Unknown
Nine Princes in Amber,1985-01-01,"DOS, MSX",interactive fiction
Ninety-Nine Nights II,2010-06-29,Xbox One,"hack and slash, role-playing video game"
Ninja Baseball Bat Man,1993-01-01,arcade video game,fighting game
Ninja Gaiden,2004-03-02,"Commodore 64, ZX Spectrum, arcade video game","action-adventure game, beat 'em up, crossover fiction"
Ninja Gaiden II: The Dark Sword of Chaos,1990-04-06,"DOS, Nintendo Entertainment System",platformer
Ninja Gaiden Sigma 2,2009-09-29,"Microsoft Windows, PlayStation 3, PlayStation Vita","action game, action-adventure game, adventure video game, hack and slash"
Ninja Reflex,2008-03-04,"Microsoft Windows, Nintendo DS, Wii",action game
Ninja Spirit,1988-01-01,"Amstrad CPC, Atari ST, Commodore 64, TurboGrafx-16, ZX Spectrum",platformer
Nintendo Land,2012-11-18,Wii U,party video game
Nintendo World Cup,1990-05-18,"Game Boy, Nintendo Entertainment System, PlayStation, TurboGrafx-16",association football video game
Nintendogs,2005-04-21,Nintendo DS,Unknown
Nintendogs + Cats,2011-02-26,Nintendo 3DS,virtual pet video game
No More Heroes,2007-12-06,"Microsoft Windows, PlayStation 3, Wii",action-adventure game
No More Heroes 2: Desperate Struggle,2010-01-26,"Amazon Luna, Microsoft Windows, Wii","action game, action-adventure game"
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,2002-09-30,"Classic Mac OS, Microsoft Windows, macOS",first-person shooter
No Second Prize,1992-01-01,Atari ST,sports video game
No Time to Explain,2011-08-15,"Microsoft Windows, macOS",platformer
Nobita and the Green Giant Legend DS,2008-03-06,Nintendo DS,action-adventure game
Nobunaga's Ambition: Bushou Fuunroku,1990-01-01,"Microsoft Windows, PlayStation, PlayStation 2, TurboGrafx-16",grand strategy wargame
Noby Noby Boy,2009-02-19,"PlayStation 3, iOS",action game
Noctis,2000-01-01,"DOS, Microsoft Windows",space flight simulation game
Nodes of Yesod,1985-01-01,"Amstrad CPC, Commodore 64, Enterprise, ZX Spectrum, iOS","Metroidvania, science fiction video game"
Nomic,1982-01-01,web browser,Unknown
Nord and Bert Couldn't Make Head or Tail of It,1987-07-22,"Apple II, Atari ST, Classic Mac OS, Commodore 64, DOS",interactive fiction
North & South,1989-01-01,"Amstrad CPC, Atari ST, Commodore 64, DOS, MSX, Nintendo Entertainment System, ZX Spectrum",platformer
North Sea Helicopter,1985-01-01,MSX,simulation video game
Nox,2000-01-31,Microsoft Windows,action role-playing game
Nuclear Dawn,2011-04-01,"Microsoft Windows, macOS","first-person shooter, real-time strategy"
NukeZone,2001-02-10,web browser,turn-based strategy video game
OGame,2002-01-01,web browser,"massively multiplayer online game, turn-based strategy video game"
OMSI Bus Simulator,2011-02-18,Microsoft Windows,bus simulation video game
OXO,1952-01-01,Electronic Delay Storage Automatic Calculator,puzzle video game
Obliterator,1988-01-01,"Amstrad CPC, Atari ST, DOS, ZX Spectrum",action-adventure game
ObsCure,2004-10-01,"Microsoft Windows, PlayStation 4","action-adventure game, survival horror"
Ocean Trader,1995-01-01,Microsoft Windows,business simulation game
Odama,2006-03-31,Nintendo GameCube,"pinball video game, real-time tactics"
Oddworld: Abe's Oddysee,1997-08-31,"DOS, Game Boy, Game Boy Color, Microsoft Windows, PlayStation 2",2D platform game
Oddworld: Munch's Oddysee,2001-11-15,"Microsoft Windows, PlayStation 3, PlayStation Vita, iOS, macOS",platformer
Odin Sphere,2007-05-17,"PlayStation 3, PlayStation 4",action role-playing game
Of Orcs and Men,2012-10-11,"Microsoft Windows, PlayStation 3, Xbox One",role-playing video game
Oil Barons,1983-01-01,"Commodore 64, DOS",strategy video game
Oil's Well,1983-01-01,"Apple II, Atari 400, ColecoVision, Commodore 64, MSX","action game, maze video game"
Oktoberfest,2009-08-01,Nintendo DS,Unknown
Old Testament Megami-Tensei,1995-01-01,Super Nintendo Entertainment System,role-playing video game
Omega,1989-01-01,"Apple IIGS, Atari ST, Classic Mac OS, Commodore 64, DOS",strategy video game
Omega Boost,1999-04-22,PlayStation 2,"science fiction video game, shoot 'em up"
On-Court Tennis,1984-01-01,Commodore 64,tennis video game
Once and Future,1998-01-01,Microsoft Windows,adventure video game
One Must Fall: 2097,1994-01-01,DOS,"fighting game, science fiction video game"
One Piece: Birth of Luffy's Dream Pirate Crew!,2001-01-01,Game Boy Color,tactical role-playing game
One Piece: Grand Battle!,2005-03-17,"Nintendo GameCube, PlayStation 4",fighting game
One Piece: Pirates' Carnival,2005-11-23,"Nintendo GameCube, PlayStation 4",Unknown
One Piece: Unlimited Adventure,2007-04-26,Wii,"action-adventure game, adventure video game, fighting game"
One on One,1983-01-01,"Atari 7800, Classic Mac OS, Commodore 64, DOS",sports video game
One: Kagayaku Kisetsu e,1998-05-29,"Java virtual machine, Microsoft Windows, PlayStation 2","drama anime and manga, eroge, fantasy anime and manga, harem, romance anime and manga, school anime and manga, visual novel"
Oni,2001-01-26,"Classic Mac OS, Microsoft Windows, PlayStation 4","action game, action-adventure game, cyberpunk video game, science fiction video game, third-person shooter"
Onimusha 2: Samurai's Destiny,2002-03-07,"PlayStation 3, PlayStation 4","action-adventure game, dark fantasy video game, hack and slash"
Online Fussball Manager,2003-03-10,web browser,association football video game
Oolite,2012-05-27,"FreeBSD, IRIX, Microsoft Windows, macOS","science fiction video game, space flight simulation game, space trading and combat game"
OpenArena,2005-08-19,"Classic Mac OS, Microsoft Windows, Ouya, macOS",first-person shooter
OpenChess,,Unknown,Unknown
Operation 7,2009-05-01,Microsoft Windows,first-person shooter
Operation Flashpoint: Cold War Crisis,2001-06-22,"Microsoft Windows, macOS","action game, first-person shooter, shooter game, simulation video game, tactical shooter"
Operation Flashpoint: Dragon Rising,2009-10-06,"Microsoft Windows, PlayStation 3, Xbox One",tactical shooter
Operation Harrier,1990-01-01,Atari ST,action game
Operation Neptune,1991-01-01,"Classic Mac OS, DOS, Microsoft Windows",educational video game
Operation Thunderbolt,1988-01-01,"Amstrad CPC, Atari ST, Commodore 64, Super Nintendo Entertainment System, ZX Spectrum",shoot 'em up
Orbiter,2000-11-27,Microsoft Windows,simulation video game
Orcs & Elves,2006-05-01,Nintendo DS,"action game, role-playing video game"
Orcs Must Die!,2011-10-05,Microsoft Windows,tower defense
Orcs Must Die! 2,2012-07-30,Microsoft Windows,action game
Order & Chaos Online,2011-04-27,"Windows Phone, iOS",massively multiplayer online role-playing game
Order of War,2009-09-22,Microsoft Windows,strategy video game
Osmos,2009-08-17,"Microsoft Windows, iPadOS, macOS","biological simulation video game, puzzle video game"
Osu! Tatakae! Ouendan,2005-07-28,Nintendo DS,"cheerleading video game, music video game"
Otome wa Boku ni Koishiteru,2005-01-28,"Microsoft Windows, PlayStation 4, PlayStation Portable","eroge, harem, visual novel, yuri"
Otometeki Koi Kakumei Love Revo!!,2006-01-26,"Microsoft Windows, Nintendo DS, PlayStation 4",dating sim
Out Run,1986-09-20,"Amstrad CPC, Atari ST, Commodore 64, DOS, MSX, PlayStation, TurboGrafx-16, ZX Spectrum, arcade video game",racing video game
Out Run 2019,1993-03-26,PlayStation,racing video game
Outcast,1999-08-20,Microsoft Windows,"action game, action-adventure game, science fiction video game"
Outtrigger,2001-07-24,arcade video game,"first-person shooter, third-person shooter"
OverBlood 2,1998-07-23,PlayStation 2,"action-adventure game, science fiction video game"
Overboard!,1997-10-01,"Microsoft Windows, PlayStation 2",action game
Overgrowth,2017-10-16,"Microsoft Windows, macOS",action-adventure game
Overlander,1988-01-01,"Atari ST, Commodore 64, ZX Spectrum",racing video game
Overlord: Dark Legend,2009-06-23,Wii,"action-adventure game, third-person shooter"
Oxxonian,1989-01-01,Commodore 64,action game
Oxyd,1990-01-01,"Atari ST, Classic Mac OS, DOS, Mac operating system","arcade, puzzle video game"
P.N.03,2003-03-27,Nintendo GameCube,"science fiction video game, third-person shooter"
POD,1997-02-28,Microsoft Windows,vehicular combat game
PaRappa the Rapper,1996-12-06,"PlayStation 2, PlayStation Portable","music video game, rhythm game"
Pac-Man,1980-05-22,"Apple II series, Atari 2600, Atari 5200, Atari 8-bit family, Commodore 64, Commodore VIC-20, DOS, Famicom Disk System, Game Boy Color, IBM Personal Computer, Intellivision, MSX, Microsoft Windows, Nintendo Entertainment System, PlayStation Portable, Super Nintendo Entertainment System, Texas Instruments TI-99/4A, Windows Phone, Xbox One, ZX Spectrum, arcade video game, iOS, iPod touch",maze video game
Pac-Man 2: The New Adventures,1994-01-01,"PlayStation, Super Nintendo Entertainment System",action-adventure game
Pachislot Akumajō Dracula,2009-01-05,slot machine,Unknown
Pacific Storm,2006-09-28,Microsoft Windows,real-time strategy
Pacific Strike,1994-01-01,DOS,combat flight simulator game
PainStation,2001-01-01,arcade video game,sports video game
Paint School I,1991-01-01,Philips CD-i,puzzle video game
Pandemonium!,1996-10-31,"Microsoft Windows, N-Gage, PlayStation 2, iOS",2D platform game
Panel de Pon,1995-10-27,Super Nintendo Entertainment System,puzzle video game
Pang,1989-01-01,"Amstrad CPC, Atari ST, Commodore 64, DOS, Game Boy, ZX Spectrum, iOS",platformer
PangYa,2004-01-01,"Microsoft Windows, iOS","fantasy video game, sports video game"
Panic Restaurant,1992-04-24,Nintendo Entertainment System,platformer
Panzer Corps,2011-11-18,"Microsoft Windows, iOS, macOS","strategy video game, turn-based strategy video game"
Panzer Dragoon,1995-03-10,"Microsoft Windows, PlayStation 4, R-Zone",rail shooter
Panzer Dragoon II Zwei,1996-03-22,Unknown,shoot 'em up
Panzer Dragoon Saga,1998-01-29,Unknown,role-playing video game
Panzer Elite,1999-01-01,Microsoft Windows,"action game, tank simulation game"
Panzer General,1995-01-01,"3DO, Classic Mac OS, DOS, Microsoft Windows, PlayStation 2",turn-based strategy video game
Panzer General II,1997-09-30,Microsoft Windows,turn-based strategy video game
Paper Mario,2000-08-11,"Nintendo 64, Wii, Wii U, iQue Player","platformer, role-playing video game"
Paper Mario: Sticker Star,2012-11-11,Nintendo 3DS,"role-playing video game, turn-based Japanese role-playing game"
Paper Mario: The Thousand-Year Door,2004-07-22,Nintendo GameCube,"role-playing video game, video game with LGBT character"
Paperboy,1985-04-01,"Amstrad CPC, Apple IIGS, Atari ST, Commodore 64, DOS, Game Boy, Game Boy Color, Nintendo 64, Nintendo Entertainment System, ZX Spectrum, iOS",action game
ParaWorld,2006-09-15,Microsoft Windows,real-time strategy
Paradroid,1985-01-01,"Acorn Archimedes, Atari ST, Commodore 64, iOS",shoot 'em up
Parasol Stars: The Story Of Rainbow Islands 2,1991-01-01,"Nintendo Entertainment System, TurboGrafx-16",platformer
Paratrooper,1982-01-01,DOS,shooter game
Paro Wars,1997-09-25,PlayStation 2,turn-based strategy video game
Parodius! From Myth to Laughter,1990-04-25,"Nintendo Entertainment System, Super Nintendo Entertainment System, TurboGrafx-16, arcade video game",shoot 'em up
Parsec,1982-01-01,Texas Instruments TI-99/4A,shoot 'em up
Passage,2007-11-01,"iOS, macOS","adventure video game, memento mori"
Pat Riley Basketball,1990-12-31,PlayStation,"basketball video game, simulation video game"
Patapon,2007-12-20,PlayStation Portable,music video game
Pax Imperia: Eminent Domain,1997-10-31,"Classic Mac OS, Mac operating system, Microsoft Windows",4X
Peek-A-Boo Poker,1991-01-01,Nintendo Entertainment System,erotic video game
Peggle Nights,2008-09-16,"Microsoft Windows, macOS",puzzle video game
Pekka the Rooster 2,2003-01-01,Microsoft Windows,platformer
Pengo,1982-01-01,"Atari 2600, Atari 5200, Commodore 64, arcade video game","maze video game, puzzle video game"
Penguin Land,1987-01-01,Unknown,"platformer, puzzle video game"
Pennergame,2007-01-01,web browser,strategy video game
Penthouse Hot Numbers Deluxe,1993-01-01,Unknown,Unknown
People's General,1998-08-31,Microsoft Windows,turn-based strategy video game
Pepsi Invaders,1983-01-01,Atari 2600,shoot 'em up
Perestroika,1990-01-01,"DOS, Microsoft Windows","arcade, puzzle video game"
Perfect Dark,2000-05-22,"Nintendo 64, Xbox One","action game, cyberpunk video game, first-person shooter, science fiction video game"
Perfect Dark Zero,2005-11-17,Xbox One,"action game, first-person shooter"
Perfect World,,Microsoft Windows,massively multiplayer online role-playing game
PerfectGoal,2009-10-01,personal computer,association football video game
Perry Mason: The Case of the Mandarin Murder,1985-01-01,"DOS, MSX",interactive fiction
Perry Rhodan: Operation Eastside,1998-01-01,Microsoft Windows,strategy video game
Persona 2: Innocent Sin,1999-06-24,"PlayStation 2, PlayStation Portable",role-playing video game
Persona 3,2006-07-13,PlayStation 4,"role-playing video game, video game with LGBT character"
Persona 4,2008-07-10,"Microsoft Windows, PlayStation 3, PlayStation 4, PlayStation Vita","LGBT-themed video game, role-playing video game, video game with LGBT character"
Pet Society,2007-01-01,"Facebook, iOS","digital pet, fantasy video game"
Peter Gabriel: Eve,1996-01-01,"Classic Mac OS, Microsoft Windows","adventure video game, music video game"
Phalanx II: The Return,1987-01-01,Unknown,Unknown
Phantasmagoria,1995-07-31,"Classic Mac OS, DOS, Microsoft Windows","graphic adventure game, interactive film"
Phantasy Star II,1989-03-21,"Microsoft Windows, PlayStation, PlayStation 4, iOS, macOS","role-playing video game, video game with LGBT character"
Phantasy Star Online,2000-12-21,"Microsoft Windows, Nintendo GameCube",action role-playing game
